Candidate,Party,Constituency_Name,State_Name,Year,Position,Votes,Margin,Gender,Age,My_Neta_Education,Assets,Criminal_Cases
Dr. Arvind Shrivastava,INC,Varanasi North,Uttar Pradesh,2024,1,348920,42100,Male,58,Post Graduate,184000000,2
Rameshwar Singh,BJP,Jaunpur,Uttar Pradesh,2024,1,412890,89210,Male,62,Graduate,420000000,4
Digvijay Rathore,BJP,Guna,Madhya Pradesh,2024,1,385410,61200,Male,49,Doctorate,295000000,1
Jayashree Venkataraman,DMK,Chennai Central,Tamil Nadu,2024,1,495120,114200,Female,52,Post Graduate,124000000,0
Ramesh Kumar,RJD,Patliputra,Bihar,2024,1,368900,24100,Male,55,Graduate,95000000,3
Ramesh Kumar,INC,Bangalore South,Karnataka,2024,2,398400,-15200,Male,47,Graduate Professional,310000000,0
Anandita Banerjee,TMC,Diamond Harbour,West Bengal,2024,1,512800,142000,Female,44,Post Graduate,85000000,1
Vikramjeet Ranawat,BJP,Valsad,Gujarat,2024,1,445100,98000,Male,54,Graduate,210000000,2
Sanjay Rautela,SHS,Mumbai South,Maharashtra,2024,1,382100,34500,Male,59,Graduate,165000000,3
Devendra Deshmukh,BJP,Nagpur,Maharashtra,2024,1,472000,88000,Male,53,Post Graduate,340000000,1
Supriya Pawar,NCP,Baramati,Maharashtra,2024,1,520100,128000,Female,54,Graduate,490000000,0
Aditya Kulkarni,SS-UBT,Thane,Maharashtra,2024,2,402100,-21000,Male,34,Graduate,195000000,1
Nitin Gadve,BJP,Pune,Maharashtra,2024,1,489200,74000,Male,61,Post Graduate,275000000,0
Prakash Ambedkar,VBA,Akola,Maharashtra,2024,3,212000,-98000,Male,68,Graduate Professional,82000000,0
Manoj Jha,RJD,Rajya Sabha,Bihar,2024,1,0,0,Male,56,Doctorate,42000000,0
Mahua Moitra,TMC,Krishnanagar,West Bengal,2024,1,489300,56000,Female,49,Graduate,250000000,2
Shashi Tharoor,INC,Thiruvananthapuram,Kerala,2024,1,358100,16000,Male,68,Doctorate,350000000,1
Asaduddin Owaisi,AIMIM,Hyderabad,Telangana,2024,1,661900,338000,Male,55,Barrister at Law,190000000,5
Raghav Chadha,AAP,Rajya Sabha,Delhi,2024,1,0,0,Male,35,Chartered Accountant,38000000,0
Tejasvi Surya,BJP,Bangalore South,Karnataka,2024,1,413600,15200,Male,33,Graduate Professional,41000000,1
Akhilesh Yadav,SP,Kannauj,Uttar Pradesh,2024,1,642200,170000,Male,50,Post Graduate,420000000,1
Dimple Yadav,SP,Mainpuri,Uttar Pradesh,2024,1,598500,221000,Female,46,Graduate,380000000,0
Chirag Paswan,LJP,Hajipur,Bihar,2024,1,615700,170000,Male,41,Graduate,125000000,0
Kiren Rijiju,BJP,Arunachal West,Arunachal Pradesh,2024,1,205400,100000,Male,52,Graduate Professional,98000000,0
Gaurav Gogoi,INC,Jorhat,Assam,2024,1,751700,144000,Male,41,Post Graduate,145000000,0
