bill_number,bill_name,year,type,category,ministry,introduced_in,introduced_by,introduced_date,passed_ls_date,passed_rs_date,assented_date,status,committee_referred,committee_report_date,act_no,act_year,introduced_file,report_file,gazette_file
109,"THE UNION TERRITORIES LAWS (AMENDMENT) BILL, 2026",2026,Government,Ordinary Bill,HOME AFFAIRS,Lok Sabha,,2026-04-16,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/as intro union416202612834PM.pdf?source=legislation,,
108,"THE DELIMITATION BILL, 2026.",2026,Government,Financial Bill,LAW AND JUSTICE,Lok Sabha,,2026-04-16,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO THE DELIMITATION416202611944PM.pdf?source=legislation,,
107,"THE CONSTITUTION (ONE HUNDRED AND THIRTY-FIRST AMENDMENT) BILL, 2026",2026,Government,Constitutional Amendment Bill,LAW AND JUSTICE,Lok Sabha,,2026-04-16,,,,Negatived,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/AS INTRO416202612944PM.pdf?source=legislation,,
105,"THE ANDHRA PRADESH REORGANISATION (AMENDMENT) BILL, 2026",2026,Government,Ordinary Bill,HOME AFFAIRS,Lok Sabha,,2026-04-01,2026-04-01,2026-04-02,06/04/2026,Passed,,,7,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/as intro412026124446PM.pdf?source=legislation,,
104,"THE JAN VISHWAS (AMENDMENT OF PROVISIONS) BILL, 2026",2026,Government,Ordinary Bill,COMMERCE AND INDUSTRY,Lok Sabha,,2026-03-27,2026-04-01,2026-04-02,07/04/2026,Passed,,,8,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro jan vishwas327202622259PM.pdf?source=legislation,,
XLI,"The Central Armed Police Forces (General Administration) Bill, 2026",2026,Government,Ordinary Bill,HOME AFFAIRS,Rajya Sabha,,2026-03-25,2026-04-02,2026-04-01,09/04/2026,Assented,,,9,2026,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/be325202625631PM.pdf?source=legislation,,
97,"THE FOREIGN CONTRIBUTION (REGULATION) AMENDMENT BILL, 2026",2026,Government,Financial Bill,HOME AFFAIRS,Lok Sabha,,2026-03-25,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro3252026125456PM.pdf?source=legislation,,
85,"THE CORPORATE LAWS (AMENDMENT) BILL, 2026",2026,Government,Financial Bill,FINANCE,Lok Sabha,,2026-03-23,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/as intro3232026122530PM.pdf?source=legislation,,
82,"THE APPROPRIATION (NO. 2) BILL, 2026",2026,Government,Money Bill,FINANCE,Lok Sabha,,2026-03-18,2026-03-18,2026-03-27,30/03/2026,Assented,,,5,2026,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/As intro318202663503PM.pdf?source=legislation,,
LXXII,"The Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement (Amendment) Bill, 2025",2025,Private Member,Ordinary Bill,RURAL DEVELOPMENT,Rajya Sabha,Renuka Chowdhury Smt.,2026-03-13,,,,Pending,,,,,https://sansad.in/getFile/BillsTexts/RSBillTexts/Asintroduced/7e3192026103035AM.pdf?source=legislation,,
